title,source,published_at,scraped_at,sentiment_score,sentiment_label
What I wish I’d done with my first real paycheck after graduating,MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 15:18:00 GMT",2026-04-29 15:40:27.846215,0.225,positive
Bill Ackman’s Pershing Square USA flops on first day of trading,MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 19:14:00 GMT",2026-04-29 15:40:26.168268,0.09999999999999999,neutral
"‘I’m very late to the game’: I’m 48, earn $65,000, have $48,000 in debt and no retirement. Am I doomed?",MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 18:01:00 GMT",2026-04-29 15:40:26.890807,-0.04750000000000001,neutral
Micron’s stock is gaining. Here’s why the semiconductor trade has sprung back to life.,MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 15:48:00 GMT",2026-04-29 15:40:27.503452,0.21666666666666667,positive
The chicken-wing trade keeps collapsing and Wall Street is left seeking a Wingstop bottom,MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 17:59:00 GMT",2026-04-29 15:40:27.074922,0.125,positive
"Can Shake Shack’s new sandwich challenge the McRib, one of the most celebrated menu items in fast-food history?",MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 18:20:00 GMT",2026-04-29 15:40:26.738207,0.3287878787878788,positive
"Powell won’t leave the Fed, says he’ll stay on as governor after term as chair ends",MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 19:15:00 GMT",2026-04-29 15:40:25.955039,0.0,neutral
"No kids, no care: Solo agers are hiring professional ‘next-of-kin’ for major life decisions",MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 19:10:00 GMT",2026-04-29 15:40:26.460604,0.05416666666666667,neutral
Did the economy actually get stronger during the Iran war? Here’s what the numbers tell us.,MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 15:34:00 GMT",2026-04-29 15:40:27.691831,0.09583333333333333,neutral
Why it’s time for ‘sell in May and go away’ to die,MarketWatch.com - Top Stories,"Wed, 29 Apr 2026 16:59:00 GMT",2026-04-29 15:40:27.293472,0.2914285714285715,positive
